Año,Trimestre,Provincia,Accesos por cada 100 hogares
2018,2,Santa Fe,62.5707923995744
2018,2,Santiago Del Estero,35.2564642111642
2018,2,Tierra Del Fuego,91.6051962953856
2018,2,Tucuman,41.5125631700174
2018,3,Buenos Aires,64.4405675975205
2018,3,Capital Federal,108.445914110219
2018,3,Catamarca,32.9159453741104
2018,3,Chaco,32.2831008330776
2018,3,Chubut,56.391745852269
2018,3,Cordoba,64.2421002602934
2018,3,Corrientes,34.2499388738322
2018,3,Entre Rios,50.2220138583775
2018,3,Formosa,29.5765734288784
2018,3,Jujuy,23.2637001371955
2018,3,La Pampa,71.7502365184484
2018,3,La Rioja,50.7330431805956
2018,3,Mendoza,37.9905972679962
2018,3,Misiones,32.103666418059
2018,3,Neuquen,60.4866167439691
2018,3,Rio Negro,50.5426480870375
2018,3,Salta,39.4274134206841
2018,3,San Juan,33.0514165039238
2018,3,San Luis,52.3531149755192
2018,3,Santa Cruz,32.7278502945593
2018,3,Santa Fe,63.4096146162309
2018,3,Santiago Del Estero,36.2496169780513
2018,3,Tierra Del Fuego,92.7719183939406
2018,3,Tucuman,41.6810135952876
2018,4,Buenos Aires,64.6028466348432
2018,4,Capital Federal,108.273149970574
2018,4,Catamarca,32.2253461660253
2018,4,Chaco,32.5909608763298
2018,4,Chubut,42.6109360960454
2018,4,Cordoba,65.0892645911237
2018,4,Corrientes,34.5662765686955
2018,4,Entre Rios,54.3747734863994
2018,4,Formosa,29.73653915732
2018,4,Jujuy,46.5322663913268
2018,4,La Pampa,73.4940482831421
2018,4,La Rioja,50.3479939174172
2018,4,Mendoza,37.7577838459117
2018,4,Misiones,34.4507488777944
2018,4,Neuquen,59.0691692663678
2018,4,Rio Negro,51.8614034542606
2018,4,Salta,39.8016100697381
2018,4,San Juan,31.8962520702558
2018,4,San Luis,67.5504536976004
2018,4,Santa Cruz,23.6891941006561
2018,4,Santa Fe,65.5870688619156
2018,4,Santiago Del Estero,37.4007259512934
2018,4,Tierra Del Fuego,93.5925708620794
2018,4,Tucuman,41.7579696387777
2019,1,Buenos Aires,66.2425552273681
2019,1,Capital Federal,109.196164558838
2019,1,Catamarca,32.1904889561213
2019,1,Chaco,32.6358765794295
2019,1,Chubut,42.997736337178
2019,1,Cordoba,65.5173840768055
2019,1,Corrientes,35.1349868869881
2019,1,Entre Rios,56.7881599616928
2019,1,Formosa,29.6776946304319
2019,1,Jujuy,46.4084387403666
2019,1,La Pampa,76.3545743378065
2019,1,La Rioja,50.1845878832627
2019,1,Mendoza,37.6571649702829
2019,1,Misiones,36.2571682655235
2019,1,Neuquen,58.8780043343749
2019,1,Rio Negro,53.5716497810025
2019,1,Salta,40.0983444177161
2019,1,San Juan,31.8330580534655
2019,1,San Luis,67.3379373977716
2019,1,Santa Cruz,23.6676549967689
2019,1,Santa Fe,66.9740909479148
2019,1,Santiago Del Estero,37.5194167460039
2019,1,Tierra Del Fuego,93.3758192272124
2019,1,Tucuman,41.6307444313476
2019,2,Buenos Aires,67.847139823742
2019,2,Capital Federal,110.545566994852
2019,2,Catamarca,32.1309502201928
2019,2,Chaco,34.1402609798676
2019,2,Chubut,46.9879841362692
2019,2,Cordoba,68.0713093878985
2019,2,Corrientes,38.155585884188
2019,2,Entre Rios,57.4782345887239
2019,2,Formosa,30.4182360069433
2019,2,Jujuy,44.511922790626
