Año,Trimestre,Provincia,Mbps (Media de bajada)
2018,4,Tucuman,16.5832344455303
2019,1,Buenos Aires,19.6439582242305
2019,1,Capital Federal,24.7150632938498
2019,1,Catamarca,7.96400515527188
2019,1,Chaco,13.4442362690779
2019,1,Chubut,5.89173056919616
2019,1,Cordoba,15.7348642286459
2019,1,Corrientes,12.049695550812
2019,1,Entre Rios,10.659197328954
2019,1,Formosa,9.82508995783571
2019,1,Jujuy,8.56046421746506
2019,1,La Pampa,5.0578618428674
2019,1,La Rioja,7.09279228699204
2019,1,Mendoza,5.7427641753174
2019,1,Misiones,12.5127734596835
2019,1,Neuquen,15.8846532639152
2019,1,Rio Negro,10.4884206481363
2019,1,Salta,10.3771000139695
2019,1,San Juan,5.83926318942954
2019,1,San Luis,8.70855518875459
2019,1,Santa Cruz,5.77999297039756
2019,1,Santa Fe,12.986963477266
2019,1,Santiago Del Estero,6.41507073796908
2019,1,Tierra Del Fuego,6.3411014506123
2019,1,Tucuman,16.5732999645796
2019,2,Buenos Aires,22.4800460185574
2019,2,Capital Federal,30.346259857092
2019,2,Catamarca,8.81
2019,2,Chaco,16.0102433309966
2019,2,Chubut,6.05440689354379
2019,2,Cordoba,18.4315178319128
2019,2,Corrientes,13.8330350838162
2019,2,Entre Rios,12.1933578179506
2019,2,Formosa,10.8366112194808
2019,2,Jujuy,12.0733822805073
2019,2,La Pampa,5.49228832141797
2019,2,La Rioja,7.89416348600509
2019,2,Mendoza,6.02629690452623
2019,2,Misiones,14.5013025473924
2019,2,Neuquen,17.242865250196
2019,2,Rio Negro,11.6280502043199
2019,2,Salta,12.5487487506016
2019,2,San Juan,6.11852201306904
2019,2,San Luis,19.8759728483994
2019,2,Santa Cruz,6.00804731756081
2019,2,Santa Fe,15.0745490588903
2019,2,Santiago Del Estero,7.10311288296652
2019,2,Tierra Del Fuego,6.34
2019,2,Tucuman,18.5293178859203
2019,3,Buenos Aires,25.6793801438341
2019,3,Capital Federal,38.7141005607114
2019,3,Catamarca,9.29340742945983
2019,3,Chaco,19.9946681226854
2019,3,Chubut,6.96632358847429
2019,3,Cordoba,23.1934023649398
2019,3,Corrientes,16.6999225509086
2019,3,Entre Rios,14.6951328665006
2019,3,Formosa,13.223537484062
2019,3,Jujuy,11.9682409299243
2019,3,La Pampa,5.71966646489104
2019,3,La Rioja,8.00237529691211
2019,3,Mendoza,6.10822854552147
2019,3,Misiones,17.9315224613728
2019,3,Neuquen,23.7484151599667
2019,3,Rio Negro,15.9837185039992
2019,3,Salta,14.7464652444555
2019,3,San Juan,6.0382295086509
2019,3,San Luis,19.7438269823496
2019,3,Santa Cruz,5.01774694095645
2019,3,Santa Fe,18.1655296866879
2019,3,Santiago Del Estero,9.38941313142636
2019,3,Tierra Del Fuego,6.69070138014341
2019,3,Tucuman,19.3239947945805
2019,4,Buenos Aires,30.7696941410059
2019,4,Capital Federal,44.2031786700859
2019,4,Catamarca,24.8783076704626
2019,4,Chaco,23.3749508001623
2019,4,Chubut,6.99411352344506
2019,4,Cordoba,26.1622806145129
2019,4,Corrientes,19.2554116079714
2019,4,Entre Rios,17.0075808976571
2019,4,Formosa,14.5256295515193
2019,4,Jujuy,12.9592000428042
2019,4,La Pampa,6.52615219569304
2019,4,La Rioja,8.00088036402963
2019,4,Mendoza,7.78520088998709
2019,4,Misiones,20.3203474357427
2019,4,Neuquen,26.0198843147829
2019,4,Rio Negro,17.176998973856
2019,4,Salta,19.0835730228338
2019,4,San Juan,6.04017169846849
2019,4,San Luis,20.6903534221431
2019,4,Santa Cruz,5.20792506406971
2019,4,Santa Fe,20.5471970198073
2019,4,Santiago Del Estero,9.79220184435585
2019,4,Tierra Del Fuego,7.27
2019,4,Tucuman,29.8703893243128
2020,1,Buenos Aires,45.1812880737555
2020,1,Capital Federal,58.7056829624225
2020,1,Catamarca,29.1322250129396
2020,1,Chaco,25.942049334121698
2020,1,Chubut,7.1170477818654
2020,1,Cordoba,29.3947878350613
2020,1,Corrientes,20.5389992749433
2020,1,Entre Rios,19.0297653350575
2020,1,Formosa,15.6973526074151
2020,1,Jujuy,14.1449220571547
2020,1,La Pampa,7.29175772047483
2020,1,La Rioja,7.96241894715069
2020,1,Mendoza,8.440867710217
2020,1,Misiones,22.1482130684363
2020,1,Neuquen,27.7682820789762
2020,1,Rio Negro,19.0603005640612
2020,1,Salta,21.4250472439027
2020,1,San Juan,6.0369845914841
2020,1,San Luis,20.9893797442827
2020,1,Santa Cruz,6.41717062736403
2020,1,Santa Fe,22.4240567700362
2020,1,Santiago Del Estero,10.0005390804948
2020,1,Tierra Del Fuego,7.41086583769633
2020,1,Tucuman,32.2455309430329
2020,2,Buenos Aires,45.6619736321228
2020,2,Capital Federal,60.4844973584038
2020,2,Catamarca,34.9259564285714
2020,2,Chaco,27.9522846743643
2020,2,Chubut,7.60548798455908
2020,2,Cordoba,30.9875776371395
2020,2,Corrientes,22.1503060625758
2020,2,Entre Rios,20.4486211784426
2020,2,Formosa,16.8702589931144
2020,2,Jujuy,15.8640136318626
2020,2,La Pampa,8.0288622555984
2020,2,La Rioja,11.6691109619773
2020,2,Mendoza,9.27456273209416
